axiom,label
DisjointClasses(<http://dbpedia.org/ontology/HistoricBuilding> <http://dbpedia.org/ontology/Tunnel>),1
DisjointClasses(<http://dbpedia.org/ontology/Activity> <http://dbpedia.org/ontology/AmusementParkAttraction>),1
DisjointClasses(<http://dbpedia.org/ontology/Cave> <http://dbpedia.org/ontology/NaturalPlace>),0.572281959
DisjointClasses(<http://dbpedia.org/ontology/Beach> <http://dbpedia.org/ontology/Place>),0.78778626
DisjointClasses(<http://dbpedia.org/ontology/Mammal> <http://dbpedia.org/ontology/Lipid>),1
DisjointClasses(<http://dbpedia.org/ontology/RadioHost> <http://dbpedia.org/ontology/Person>),0.005063291
DisjointClasses(<http://dbpedia.org/ontology/CultivatedVariety> <http://dbpedia.org/ontology/Species>),0.695652174
DisjointClasses(<http://dbpedia.org/ontology/Asteroid> <http://dbpedia.org/ontology/SubMunicipality>),1
DisjointClasses(<http://dbpedia.org/ontology/Stream> <http://dbpedia.org/ontology/PoloLeague>),1
DisjointClasses(<http://dbpedia.org/ontology/Architect> <http://dbpedia.org/ontology/Person>),0.130088848
DisjointClasses(<http://dbpedia.org/ontology/Abbey> <http://dbpedia.org/ontology/Painter>),1
DisjointClasses(<http://dbpedia.org/ontology/ClericalAdministrativeRegion> <http://dbpedia.org/ontology/PopulatedPlace>),0
DisjointClasses(<http://dbpedia.org/ontology/Canoeist> <http://dbpedia.org/ontology/Surname>),1
DisjointClasses(<http://dbpedia.org/ontology/Orphan> <http://dbpedia.org/ontology/Presenter>),1
DisjointClasses(<http://dbpedia.org/ontology/Play> <http://dbpedia.org/ontology/WrittenWork>),0.606040852
DisjointClasses(<http://dbpedia.org/ontology/Reference> <http://dbpedia.org/ontology/Work>),0.911764706
DisjointClasses(<http://dbpedia.org/ontology/PopulatedPlace> <http://dbpedia.org/ontology/Grape>),1
DisjointClasses(<http://dbpedia.org/ontology/TableTennisPlayer> <http://dbpedia.org/ontology/CricketLeague>),1
DisjointClasses(<http://dbpedia.org/ontology/Street> <http://dbpedia.org/ontology/Amphibian>),1
